"id","sensor_id","value","start_time","end_time","duration","is_original"
5173723,3803,76.0499992,"""2017-06-17T19:00:00.000Z""","""2017-06-17T19:15:00.000Z""",900,1
5173819,3803,75.8333359,"""2017-06-17T19:15:00.000Z""","""2017-06-17T19:30:00.000Z""",900,1
5173972,3803,75.8750019,"""2017-06-17T19:30:00.000Z""","""2017-06-17T19:45:00.000Z""",900,1
5174583,3803,76.0500011,"""2017-06-17T19:45:00.000Z""","""2017-06-17T20:00:00.000Z""",900,1
5174751,3803,75.9250011,"""2017-06-17T20:00:00.000Z""","""2017-06-17T20:15:00.000Z""",900,1
5174869,3803,76.0333328,"""2017-06-17T20:15:00.000Z""","""2017-06-17T20:30:00.000Z""",900,1
5175384,3803,76.3000012,"""2017-06-17T20:30:00.000Z""","""2017-06-17T20:45:00.000Z""",900,1
5175666,3803,76.6499996,"""2017-06-17T20:45:00.000Z""","""2017-06-17T21:00:00.000Z""",900,1
5176155,3803,77.3000012,"""2017-06-17T21:00:00.000Z""","""2017-06-17T21:15:00.000Z""",900,1
5176564,3803,77.6333338,"""2017-06-17T21:15:00.000Z""","""2017-06-17T21:30:00.000Z""",900,1
5176792,3803,77.875,"""2017-06-17T21:30:00.000Z""","""2017-06-17T21:45:00.000Z""",900,1
5177052,3803,78.0999985,"""2017-06-17T21:45:00.000Z""","""2017-06-17T22:00:00.000Z""",900,1
5177181,3803,78.4500008,"""2017-06-17T22:00:00.000Z""","""2017-06-17T22:15:00.000Z""",900,1
5177328,3803,78.5,"""2017-06-17T22:15:00.000Z""","""2017-06-17T22:30:00.000Z""",900,1
5177510,3803,78.3500004,"""2017-06-17T22:30:00.000Z""","""2017-06-17T22:45:00.000Z""",900,1
5177608,3803,78.2249985,"""2017-06-17T22:45:00.000Z""","""2017-06-17T23:00:00.000Z""",900,1
5177661,3803,78.1249981,"""2017-06-17T23:00:00.000Z""","""2017-06-17T23:15:00.000Z""",900,1
5177757,3803,78.2333349,"""2017-06-17T23:15:00.000Z""","""2017-06-17T23:30:00.000Z""",900,1
5177856,3803,78.2249985,"""2017-06-17T23:30:00.000Z""","""2017-06-17T23:45:00.000Z""",900,1
5178012,3803,78.3999996,"""2017-06-17T23:45:00.000Z""","""2017-06-18T00:00:00.000Z""",900,1
5178240,3803,78.6000004,"""2017-06-18T00:00:00.000Z""","""2017-06-18T00:15:00.000Z""",900,1
5178471,3803,78.6666641,"""2017-06-18T00:15:00.000Z""","""2017-06-18T00:30:00.000Z""",900,1
5178651,3803,78.9500027,"""2017-06-18T00:30:00.000Z""","""2017-06-18T00:45:00.000Z""",900,1
5178839,3803,79.2250004,"""2017-06-18T00:45:00.000Z""","""2017-06-18T01:00:00.000Z""",900,1
5179039,3803,79.1249981,"""2017-06-18T01:00:00.000Z""","""2017-06-18T01:15:00.000Z""",900,1
5179247,3803,78.9333343,"""2017-06-18T01:15:00.000Z""","""2017-06-18T01:30:00.000Z""",900,1
5179343,3803,78.9249992,"""2017-06-18T01:30:00.000Z""","""2017-06-18T01:45:00.000Z""",900,1
5179426,3803,78.8000011,"""2017-06-18T01:45:00.000Z""","""2017-06-18T02:00:00.000Z""",900,1
5179563,3803,78.6000004,"""2017-06-18T02:00:00.000Z""","""2017-06-18T02:15:00.000Z""",900,1
5179717,3803,78.5666656,"""2017-06-18T02:15:00.000Z""","""2017-06-18T02:30:00.000Z""",900,1
5179826,3803,78.2999992,"""2017-06-18T02:30:00.000Z""","""2017-06-18T02:45:00.000Z""",900,1
5179965,3803,78.1750012,"""2017-06-18T02:45:00.000Z""","""2017-06-18T03:00:00.000Z""",900,1
5180125,3803,78.0249996,"""2017-06-18T03:00:00.000Z""","""2017-06-18T03:15:00.000Z""",900,1
5180264,3803,77.8333359,"""2017-06-18T03:15:00.000Z""","""2017-06-18T03:30:00.000Z""",900,1
5180378,3803,77.75,"""2017-06-18T03:30:00.000Z""","""2017-06-18T03:45:00.000Z""",900,1
5180548,3803,77.6499996,"""2017-06-18T03:45:00.000Z""","""2017-06-18T04:00:00.000Z""",900,1
5180881,3803,77.4750004,"""2017-06-18T04:00:00.000Z""","""2017-06-18T04:15:00.000Z""",900,1
5181031,3803,77.3333359,"""2017-06-18T04:15:00.000Z""","""2017-06-18T04:30:00.000Z""",900,1
5181120,3803,77.2500019,"""2017-06-18T04:30:00.000Z""","""2017-06-18T04:45:00.000Z""",900,1
5181195,3803,77.1999989,"""2017-06-18T04:45:00.000Z""","""2017-06-18T05:00:00.000Z""",900,1
5181263,3803,77.0499992,"""2017-06-18T05:00:00.000Z""","""2017-06-18T05:15:00.000Z""",900,1
5181321,3803,76.9333344,"""2017-06-18T05:15:00.000Z""","""2017-06-18T05:30:00.000Z""",900,1
5181374,3803,76.9249992,"""2017-06-18T05:30:00.000Z""","""2017-06-18T05:45:00.000Z""",900,1
5181503,3803,76.6999989,"""2017-06-18T05:45:00.000Z""","""2017-06-18T06:00:00.000Z""",900,1
5181626,3803,76.8500023,"""2017-06-18T06:00:00.000Z""","""2017-06-18T06:15:00.000Z""",900,1
5181687,3803,76.7666652,"""2017-06-18T06:15:00.000Z""","""2017-06-18T06:30:00.000Z""",900,1
5181744,3803,76.5999985,"""2017-06-18T06:30:00.000Z""","""2017-06-18T06:45:00.000Z""",900,1
5181812,3803,76.4000015,"""2017-06-18T06:45:00.000Z""","""2017-06-18T07:00:00.000Z""",900,1
5181878,3803,79.6836537,"""2017-06-18T07:00:00.000Z""","""2017-06-18T07:15:00.000Z""",900,1
5181950,3803,76.6666667,"""2017-06-18T07:15:00.000Z""","""2017-06-18T07:30:00.000Z""",900,1
5182016,3803,76.4750004,"""2017-06-18T07:30:00.000Z""","""2017-06-18T07:45:00.000Z""",900,1
5182078,3803,76.4750004,"""2017-06-18T07:45:00.000Z""","""2017-06-18T08:00:00.000Z""",900,1
5182138,3803,76.4750004,"""2017-06-18T08:00:00.000Z""","""2017-06-18T08:15:00.000Z""",900,1
5182190,3803,76.5,"""2017-06-18T08:15:00.000Z""","""2017-06-18T08:30:00.000Z""",900,1
5182254,3803,76.3750019,"""2017-06-18T08:30:00.000Z""","""2017-06-18T08:45:00.000Z""",900,1
5182312,3803,76.3000031,"""2017-06-18T08:45:00.000Z""","""2017-06-18T09:00:00.000Z""",900,1
5182383,3803,76.4500008,"""2017-06-18T09:00:00.000Z""","""2017-06-18T09:15:00.000Z""",900,1
5182431,3803,76.4333344,"""2017-06-18T09:15:00.000Z""","""2017-06-18T09:30:00.000Z""",900,1
5182491,3803,76.4500008,"""2017-06-18T09:30:00.000Z""","""2017-06-18T09:45:00.000Z""",900,1
5182572,3803,76.4500008,"""2017-06-18T09:45:00.000Z""","""2017-06-18T10:00:00.000Z""",900,1
5182715,3803,76.4500008,"""2017-06-18T10:00:00.000Z""","""2017-06-18T10:15:00.000Z""",900,1
5182821,3803,76.4666672,"""2017-06-18T10:15:00.000Z""","""2017-06-18T10:30:00.000Z""",900,1
5182935,3803,76.5,"""2017-06-18T10:30:00.000Z""","""2017-06-18T10:45:00.000Z""",900,1
5183048,3803,76.4750004,"""2017-06-18T10:45:00.000Z""","""2017-06-18T11:00:00.000Z""",900,1
5183227,3803,76.3166682,"""2017-06-18T11:00:00.000Z""","""2017-06-18T11:15:00.000Z""",900,1
5183381,3803,76.3000005,"""2017-06-18T11:15:00.000Z""","""2017-06-18T11:30:00.000Z""",900,1
5183504,3803,76.2749996,"""2017-06-18T11:30:00.000Z""","""2017-06-18T11:45:00.000Z""",900,1
5183608,3803,76.25,"""2017-06-18T11:45:00.000Z""","""2017-06-18T12:00:00.000Z""",900,1
5183714,3803,76.1749973,"""2017-06-18T12:00:00.000Z""","""2017-06-18T12:15:00.000Z""",900,1
5183797,3803,76.2333323,"""2017-06-18T12:15:00.000Z""","""2017-06-18T12:30:00.000Z""",900,1
5183931,3803,76.1999989,"""2017-06-18T12:30:00.000Z""","""2017-06-18T12:45:00.000Z""",900,1
5184045,3803,76.2749996,"""2017-06-18T12:45:00.000Z""","""2017-06-18T13:00:00.000Z""",900,1
5184190,3803,76.4000015,"""2017-06-18T13:00:00.000Z""","""2017-06-18T13:15:00.000Z""",900,1
5184336,3803,76.5999985,"""2017-06-18T13:15:00.000Z""","""2017-06-18T13:30:00.000Z""",900,1
5184472,3803,76.8500023,"""2017-06-18T13:30:00.000Z""","""2017-06-18T13:45:00.000Z""",900,1
5184618,3803,77.0250015,"""2017-06-18T13:45:00.000Z""","""2017-06-18T14:00:00.000Z""",900,1
5184775,3803,77.1499996,"""2017-06-18T14:00:00.000Z""","""2017-06-18T14:15:00.000Z""",900,1
5185116,3803,77.4666672,"""2017-06-18T14:15:00.000Z""","""2017-06-18T14:30:00.000Z""",900,1
5185236,3803,77.6000004,"""2017-06-18T14:30:00.000Z""","""2017-06-18T14:45:00.000Z""",900,1
5185362,3803,77.6999989,"""2017-06-18T14:45:00.000Z""","""2017-06-18T15:00:00.000Z""",900,1
5185483,3803,77.9500008,"""2017-06-18T15:00:00.000Z""","""2017-06-18T15:15:00.000Z""",900,1
5185592,3803,77.9333343,"""2017-06-18T15:15:00.000Z""","""2017-06-18T15:30:00.000Z""",900,1
5185716,3803,78.0749989,"""2017-06-18T15:30:00.000Z""","""2017-06-18T15:45:00.000Z""",900,1
5185834,3803,78.2499981,"""2017-06-18T15:45:00.000Z""","""2017-06-18T16:00:00.000Z""",900,1
5185937,3803,78.4499988,"""2017-06-18T16:00:00.000Z""","""2017-06-18T16:15:00.000Z""",900,1
